,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,MONTHLY SLOT MACHINE GAMING REVENUES,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mohegan Sun,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Promotional Plays (Internal) 1,"$2,034,330.89","$1,860,201.33","$1,808,163.42","$1,997,498.71","$1,739,635.34","$1,673,459.61","$1,988,308.73","$1,943,808.10","$1,995,675.09","$2,042,700.66","$2,162,153.83","$2,136,268.45","$23,382,204.16","$517,813,122.94",
Promotional Plays (External) 1,"$19,898.00","$19,712.00",$0.01,$0.00,"$39,504.00",$0.00,"$19,834.50",$0.00,$0.00,"$19,843.50",$0.00,$0.00,"$118,792.01","$692,297.43",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$110,341.79",
Gross Terminal Revenue,"$15,048,166.82","$13,926,858.53","$12,963,598.27","$13,260,752.76","$11,426,894.27","$11,386,885.37","$12,566,172.34","$12,034,257.27","$12,877,395.35","$13,932,712.05","$13,349,017.51","$13,240,571.01","$156,013,281.55","$2,277,442,853.79",
State Tax (34%),"$5,116,376.73","$4,735,131.90","$4,407,623.44","$4,508,655.93","$3,885,144.05","$3,871,541.03","$4,272,498.62","$4,091,647.44","$4,378,314.45","$4,737,122.10","$4,538,665.97","$4,501,794.14","$53,044,515.80","$774,330,609.33",
LSA (2%) 3,"$300,963.35","$278,537.15","$259,271.99","$265,215.04","$228,537.88","$227,737.71","$251,323.46","$240,685.14","$257,547.93","$278,654.24","$266,980.35","$264,811.42","$3,120,265.66","$72,366,370.66",
EDTF (5.5%) 4,"$827,649.18","$765,977.21","$712,997.93","$729,341.43","$628,479.18","$626,278.71","$691,139.50","$661,884.14","$708,256.70","$766,299.15","$734,195.98","$728,231.41","$8,580,730.52","$118,617,975.23",
PRHDF 5,"$1,378,979.08","$1,283,036.51","$1,196,343.87","$1,214,363.86","$1,040,966.17","$1,038,015.14","$1,148,023.83","$1,083,020.07","$1,158,571.84","$1,254,964.74","$1,194,623.70","$1,183,361.86","$14,174,270.67","$242,761,235.56",
Taxable w/s/d,$289.63,$268.05,$257.83,$256.50,$229.14,$226.23,$248.38,$263.93,$255.32,$284.75,$264.02,$271.21,,,
Number of Machines 6,"1,676","1,676","1,676","1,667","1,660","1,622","1,632","1,627","1,626","1,631","1,631","1,627",,,
GTR % Change 7,-2.14%,1.67%,8.46%,6.22%,7.98%,10.42%,38.96%,12.39%,15.16%,18.13%,11.58%,12.69%,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hlloywood Casino at Penn National,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,FYTD,Grand Total,
Wagers,"$163,243,486.44","$147,897,780.60","$143,849,970.42","$149,099,861.45","$138,668,942.22","$147,548,211.50","$148,140,029.14","$145,284,706.36","$159,636,375.79","$151,261,015.82","$148,905,868.50","$144,652,726.60","$1,788,188,974.84","$35,651,048,500.07",
Payouts,"$146,817,721.59","$133,070,919.80","$129,474,668.90","$133,884,944.62","$124,835,626.93","$132,966,854.76","$133,202,449.55","$130,702,202.78","$143,604,239.83","$136,074,179.86","$133,859,466.50","$130,370,749.50","$1,608,864,024.62","$32,016,303,701.80",
Promotional Plays (Internal) 1,"$2,515,618.74","$2,117,711.02","$2,319,249.01","$2,751,536.20","$2,373,969.71","$2,488,220.33","$2,260,970.76","$2,073,789.71","$2,156,081.97","$2,236,324.09","$2,691,245.42","$2,732,896.71","$28,717,613.67","$464,195,708.10",
Promotional Plays (External) 1,"$2,408.13","$9,409.90","$12,947.38","$18,114.95","$19,003.90","$22,839.31","$14,550.80","$13,310.48","$20,321.30","$23,664.40","$10,565.86","$10,639.45","$177,775.86","$200,832.86",
Adjustments 2,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$150,373.42",
Gross Terminal Revenue,"$13,910,146.11","$12,709,149.78","$12,056,052.51","$12,463,380.63","$11,459,345.58","$12,093,136.41","$12,676,608.83","$12,508,713.87","$13,876,053.99","$12,950,511.87","$12,355,156.58","$11,549,080.39","$150,607,336.55","$3,170,699,463.58",
